fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
43197.00;0.70;0.00;43344.00;0.08;11.00;34.00;1.00;18688.00;0.56;43199.00;5.00
43319.00;0.88;0.00;43253.00;0.10;25.00;67.00;1.00;43134.00;0.68;43321.00;5.00
43319.00;0.76;0.04;43161.00;0.09;15.00;54.00;1.00;46082.00;0.65;43321.00;5.00
43142.00;0.28;0.56;43344.00;0.08;17.00;60.00;1.00;42430.00;0.58;43321.00;6.00
43197.00;0.70;0.00;43344.00;0.08;11.00;34.00;1.00;18688.00;0.56;43199.00;5.00
43197.00;0.66;0.00;43313.00;0.08;13.00;40.00;1.00;18688.00;0.56;43199.00;5.00
43350.00;0.60;0.06;43252.00;0.07;15.00;59.00;1.00;43162.00;0.46;43199.00;5.00
43166.00;0.65;0.00;43132.00;0.07;15.00;21.00;0.99;14305.00;0.47;10.00;7.00
43319.00;0.58;0.02;2.00;0.07;9.00;18.00;1.00;13210.00;0.57;43229.00;7.00
43227.00;0.50;0.36;43106.00;0.07;17.00;102.00;1.00;12844.00;0.80;43230.00;5.00
43287.00;0.58;0.08;43313.00;0.10;15.00;65.00;1.00;46813.00;0.54;43140.00;5.00
43227.00;0.50;0.36;43106.00;0.07;17.00;102.00;1.00;12844.00;0.80;43230.00;5.00
43256.00;0.62;0.00;43252.00;0.09;16.00;59.00;0.99;21245.00;0.52;43352.00;5.00
43319.00;0.61;0.29;43252.00;0.11;9.00;29.00;1.00;46082.00;20455.00;43109.00;5.00
43351.00;0.62;0.18;43315.00;0.18;52.00;145.00;1.00;42430.00;0.88;43140.00;5.00
43351.00;0.62;0.19;43346.00;0.17;51.00;148.00;1.00;42795.00;0.93;43140.00;5.00
43228.00;0.28;0.56;43313.00;0.09;35.00;103.00;1.00;43162.00;0.75;43230.00;7.00
43108.00;0.56;0.28;43282.00;0.37;16.00;56.00;1.00;43407.00;46753.00;43168.00;5.00
43197.00;0.59;0.08;43194.00;0.09;6.00;29.00;1.00;13940.00;0.50;9.00;4.00
43350.00;0.32;0.51;43313.00;0.34;17.00;56.00;1.00;43193.00;43313.00;43140.00;6.00
43351.00;0.22;0.48;43313.00;0.08;29.00;60.00;1.00;14305.00;0.53;43199.00;6.00
43258.00;0.39;0.31;43161.00;0.08;23.00;71.00;1.00;19054.00;0.65;43290.00;5.00
43350.00;0.43;0.21;43252.00;0.11;10.00;37.00;1.00;42795.00;0.91;43229.00;5.00
43228.00;0.49;0.11;43161.00;0.08;9.00;67.00;1.00;42795.00;0.53;43199.00;5.00
43349.00;0.40;0.14;43192.00;0.09;21.00;40.00;1.00;15766.00;0.63;43290.00;6.00
43165.00;0.39;0.16;43191.00;0.08;11.00;23.00;1.00;12479.00;0.56;43168.00;5.00
43258.00;0.41;0.24;43313.00;0.08;4.00;11.00;1.00;46813.00;0.59;43229.00;5.00
43350.00;0.43;0.21;43252.00;0.11;10.00;37.00;1.00;42795.00;0.91;43229.00;5.00
43107.00;0.71;0.00;43344.00;0.08;14.00;35.00;1.00;17227.00;0.55;43199.00;5.00
43319.00;0.65;0.00;2.00;0.08;8.00;16.00;1.00;13940.00;0.59;43321.00;6.00
43287.00;0.68;0.07;43192.00;0.09;17.00;82.00;1.00;12844.00;0.54;43110.00;5.00
43349.00;0.69;0.00;43222.00;0.11;22.00;37.00;1.00;16862.00;0.57;43261.00;6.00
43167.00;0.66;0.12;43161.00;0.08;15.00;113.00;1.00;42795.00;0.66;43321.00;5.00
43349.00;0.61;0.12;43291.00;0.07;40.00;83.00;1.00;16497.00;0.52;43199.00;6.00
43136.00;0.32;0.25;43313.00;0.10;13.00;50.00;1.00;13940.00;0.55;43140.00;5.00
43319.00;0.65;0.00;43225.00;0.09;5.00;18.00;1.00;43193.00;0.55;43260.00;6.00
43319.00;0.60;0.14;43192.00;0.09;3.00;15.00;1.00;15401.00;0.60;43322.00;6.00
43108.00;0.38;0.28;43102.00;0.07;13.00;30.00;1.00;44986.00;0.73;43290.00;7.00
43286.00;41275.00;0.09;43221.00;0.17;7.00;19.00;0.99;43223.00;0.48;43321.00;4.00
43166.00;0.45;0.36;43348.00;0.07;12.00;87.00;1.00;12114.00;0.83;43230.00;5.00
43166.00;0.45;0.36;43348.00;0.07;12.00;87.00;1.00;12114.00;0.83;43230.00;5.00
43320.00;0.61;0.30;43314.00;0.09;17.00;46.00;1.00;46082.00;0.51;43168.00;4.00
43227.00;0.49;0.20;43253.00;0.33;8.00;14.00;1.00;44256.00;0.90;43230.00;6.00
43108.00;0.66;0.22;43133.00;0.07;9.00;23.00;1.00;43162.00;43132.00;43169.00;5.00
43318.00;0.67;0.02;43313.00;0.05;5.00;11.00;1.00;17593.00;0.52;43229.00;5.00
43255.00;0.52;0.15;43102.00;0.05;8.00;65.00;0.99;43346.00;0.56;43113.00;4.00
43288.00;0.94;0.43;43133.00;0.11;22.00;114.00;1.00;45717.00;0.73;43140.00;5.00
43289.00;0.29;0.52;43252.00;0.11;12.00;37.00;1.00;45717.00;0.58;43229.00;5.00
43196.00;0.40;0.23;43252.00;0.07;5.00;12.00;1.00;12479.00;0.56;43140.00;5.00
43256.00;0.31;0.37;43191.00;0.07;12.00;96.00;1.00;11749.00;0.58;43140.00;5.00
43320.00;0.66;0.26;43282.00;0.07;4.00;23.00;1.00;42064.00;0.74;43140.00;5.00
43257.00;0.52;0.04;43133.00;0.07;8.00;15.00;1.00;43193.00;0.63;43199.00;6.00
43257.00;0.50;0.04;43102.00;0.07;6.00;14.00;1.00;14305.00;0.64;43199.00;6.00
43259.00;0.38;0.36;3.00;0.08;30.00;119.00;1.00;43134.00;0.56;43199.00;5.00
43258.00;0.51;0.15;43314.00;0.11;33.00;73.00;1.00;42795.00;0.63;43141.00;6.00
